2017-09-19T20:29:26.247625+00:00 app[web.1]:  2017-09-19 20:29:26,247 [DEBUG ] JpaTransactionManager - Exposing JPA transaction as JDBC transaction [org.springframework.orm.jpa.vendor.EclipseLinkJpaDialect$EclipseLinkConnectionHandle@105189a]
2017-09-19T20:30:25.620531+00:00 app[web.1]:  2017-09-19 20:30:25,620 [DEBUG ] JpaTransactionManager - Committing JPA transaction on EntityManager [org.eclipse.persistence.internal.jpa.EntityManagerImpl@3a6f791c]
2017-09-19T20:30:25.628170+00:00 app[web.1]:  2017-09-19 20:30:25,628 [DEBUG ] PoolElf - HikariPool-0 - Reset (nothing) on connection org.postgresql.jdbc4.Jdbc4Connection@40559453
2017-09-19T20:30:25.628384+00:00 app[web.1]:  2017-09-19 20:30:25,628 [DEBUG ] JpaTransactionManager - Closing JPA EntityManager [org.eclipse.persistence.internal.jpa.EntityManagerImpl@3a6f791c] after transaction
2017-09-19T20:30:25.628388+00:00 app[web.1]:  2017-09-19 20:30:25,628 [DEBUG ] EntityManagerFactoryUtils - Closing JPA EntityManager
2017-09-19T20:30:25.628650+00:00 app[web.1]:  2017-09-19 20:30:25,628 [DEBUG ] JpaTransactionManager - Creating new transaction with name [org.mitre.oauth2.repository.impl.JpaOAuth2ClientRepository.getClientByClientId]: PROPAGATION_REQUIRED,ISOLATION_DEFAULT; 'defaultTransactionManager'
2017-09-19T20:30:25.628711+00:00 app[web.1]:  2017-09-19 20:30:25,628 [DEBUG ] JpaTransactionManager - Opened new EntityManager [org.eclipse.persistence.internal.jpa.EntityManagerImpl@5f414477] for JPA transaction
2017-09-19T20:30:25.628828+00:00 app[web.1]:  2017-09-19 20:30:25,628 [DEBUG ] JpaTransactionManager - Exposing JPA transaction as JDBC transaction [org.springframework.orm.jpa.vendor.EclipseLinkJpaDialect$EclipseLinkConnectionHandle@5926f3f8]
2017-09-19T20:30:25.133480+00:00 heroku[router]: at=info method=GET path="/.well-known/openid-configuration" host=sms-xconnect.herokuapp.com request_id=613f5e39-2bab-4e76-a15c-9c51697dbb21 fwd="91.121.149.52" dyno=web.1 connect=0ms service=9ms status=200 bytes=3353 protocol=https
2017-09-19T20:30:25.673671+00:00 app[web.1]:  2017-09-19 20:30:25,673 [DEBUG ] JpaTransactionManager - Initiating transaction commit
2017-09-19T20:30:25.673699+00:00 app[web.1]:  2017-09-19 20:30:25,673 [DEBUG ] JpaTransactionManager - Committing JPA transaction on EntityManager [org.eclipse.persistence.internal.jpa.EntityManagerImpl@5f414477]
2017-09-19T20:30:25.674784+00:00 app[web.1]:  2017-09-19 20:30:25,674 [DEBUG ] PoolElf - HikariPool-0 - Reset (nothing) on connection org.postgresql.jdbc4.Jdbc4Connection@40559453
2017-09-19T20:30:25.674946+00:00 app[web.1]:  2017-09-19 20:30:25,674 [DEBUG ] JpaTransactionManager - Closing JPA EntityManager [org.eclipse.persistence.internal.jpa.EntityManagerImpl@5f414477] after transaction
2017-09-19T20:30:25.674947+00:00 app[web.1]:  2017-09-19 20:30:25,674 [DEBUG ] EntityManagerFactoryUtils - Closing JPA EntityManager
2017-09-19T20:30:25.675277+00:00 app[web.1]:  2017-09-19 20:30:25,675 [DEBUG ] JpaTransactionManager - Creating new transaction with name [org.mitre.oauth2.repository.impl.JpaSystemScopeRepository.getByValue]: PROPAGATION_REQUIRED,ISOLATION_DEFAULT; 'defaultTransactionManager'
2017-09-19T20:30:25.675344+00:00 app[web.1]:  2017-09-19 20:30:25,675 [DEBUG ] JpaTransactionManager - Opened new EntityManager [org.eclipse.persistence.internal.jpa.EntityManagerImpl@6668df51] for JPA transaction
2017-09-19T20:30:25.675672+00:00 app[web.1]:  2017-09-19 20:30:25,675 [DEBUG ] JpaTransactionManager - Exposing JPA transaction as JDBC transaction [org.springframework.orm.jpa.vendor.EclipseLinkJpaDialect$EclipseLinkConnectionHandle@8bf4957]
2017-09-19T20:30:25.676983+00:00 app[web.1]:  2017-09-19 20:30:25,676 [DEBUG ] JpaTransactionManager - Initiating transaction commit
2017-09-19T20:30:25.676984+00:00 app[web.1]:  2017-09-19 20:30:25,676 [DEBUG ] JpaTransactionManager - Committing JPA transaction on EntityManager [org.eclipse.persistence.internal.jpa.EntityManagerImpl@6668df51]
2017-09-19T20:30:25.677839+00:00 app[web.1]:  2017-09-19 20:30:25,677 [DEBUG ] PoolElf - HikariPool-0 - Reset (nothing) on connection org.postgresql.jdbc4.Jdbc4Connection@40559453
2017-09-19T20:30:25.677891+00:00 app[web.1]:  2017-09-19 20:30:25,677 [DEBUG ] JpaTransactionManager - Closing JPA EntityManager [org.eclipse.persistence.internal.jpa.EntityManagerImpl@6668df51] after transaction
2017-09-19T20:30:25.677893+00:00 app[web.1]:  2017-09-19 20:30:25,677 [DEBUG ] EntityManagerFactoryUtils - Closing JPA EntityManager
2017-09-19T20:30:25.677988+00:00 app[web.1]:  2017-09-19 20:30:25,677 [DEBUG ] JpaTransactionManager - Creating new transaction with name [org.mitre.oauth2.repository.impl.JpaSystemScopeRepository.getByValue]: PROPAGATION_REQUIRED,ISOLATION_DEFAULT; 'defaultTransactionManager'
2017-09-19T20:30:25.678016+00:00 app[web.1]:  2017-09-19 20:30:25,677 [DEBUG ] JpaTransactionManager - Opened new EntityManager [org.eclipse.persistence.internal.jpa.EntityManagerImpl@50c2437] for JPA transaction
2017-09-19T20:30:25.678073+00:00 app[web.1]:  2017-09-19 20:30:25,678 [DEBUG ] JpaTransactionManager - Exposing JPA transaction as JDBC transaction [org.springframework.orm.jpa.vendor.EclipseLinkJpaDialect$EclipseLinkConnectionHandle@778b2030]
2017-09-19T20:30:25.679362+00:00 app[web.1]:  2017-09-19 20:30:25,679 [DEBUG ] JpaTransactionManager - Initiating transaction commit
2017-09-19T20:30:25.679365+00:00 app[web.1]:  2017-09-19 20:30:25,679 [DEBUG ] JpaTransactionManager - Committing JPA transaction on EntityManager [org.eclipse.persistence.internal.jpa.EntityManagerImpl@50c2437]
2017-09-19T20:30:25.680333+00:00 app[web.1]:  2017-09-19 20:30:25,680 [DEBUG ] PoolElf - HikariPool-0 - Reset (nothing) on connection org.postgresql.jdbc4.Jdbc4Connection@40559453
2017-09-19T20:30:25.680464+00:00 app[web.1]:  2017-09-19 20:30:25,680 [DEBUG ] JpaTransactionManager - Closing JPA EntityManager [org.eclipse.persistence.internal.jpa.EntityManagerImpl@50c2437] after transaction
2017-09-19T20:30:25.680482+00:00 app[web.1]:  2017-09-19 20:30:25,680 [DEBUG ] EntityManagerFactoryUtils - Closing JPA EntityManager
2017-09-19T20:30:25.680580+00:00 app[web.1]:  2017-09-19 20:30:25,680 [DEBUG ] JpaTransactionManager - Creating new transaction with name [org.mitre.oauth2.repository.impl.JpaSystemScopeRepository.getByValue]: PROPAGATION_REQUIRED,ISOLATION_DEFAULT; 'defaultTransactionManager'
2017-09-19T20:30:25.680626+00:00 app[web.1]:  2017-09-19 20:30:25,680 [DEBUG ] JpaTransactionManager - Opened new EntityManager [org.eclipse.persistence.internal.jpa.EntityManagerImpl@77e7d9e] for JPA transaction
2017-09-19T20:30:25.680709+00:00 app[web.1]:  2017-09-19 20:30:25,680 [DEBUG ] JpaTransactionManager - Exposing JPA transaction as JDBC transaction [org.springframework.orm.jpa.vendor.EclipseLinkJpaDialect$EclipseLinkConnectionHandle@29da47e1]
2017-09-19T20:30:25.683970+00:00 app[web.1]:  2017-09-19 20:30:25,683 [DEBUG ] JpaTransactionManager - Initiating transaction commit
2017-09-19T20:30:25.683974+00:00 app[web.1]:  2017-09-19 20:30:25,683 [DEBUG ] JpaTransactionManager - Committing JPA transaction on EntityManager [org.eclipse.persistence.internal.jpa.EntityManagerImpl@77e7d9e]
2017-09-19T20:30:25.688271+00:00 app[web.1]:  2017-09-19 20:30:25,688 [DEBUG ] PoolElf - HikariPool-0 - Reset (nothing) on connection org.postgresql.jdbc4.Jdbc4Connection@40559453
2017-09-19T20:30:25.688387+00:00 app[web.1]:  2017-09-19 20:30:25,688 [DEBUG ] JpaTransactionManager - Closing JPA EntityManager [org.eclipse.persistence.internal.jpa.EntityManagerImpl@77e7d9e] after transaction
2017-09-19T20:30:25.688406+00:00 app[web.1]:  2017-09-19 20:30:25,688 [DEBUG ] EntityManagerFactoryUtils - Closing JPA EntityManager
2017-09-19T20:30:25.688563+00:00 app[web.1]:  2017-09-19 20:30:25,688 [DEBUG ] JpaTransactionManager - Creating new transaction with name [org.mitre.oauth2.repository.impl.JpaSystemScopeRepository.getByValue]: PROPAGATION_REQUIRED,ISOLATION_DEFAULT; 'defaultTransactionManager'
2017-09-19T20:30:25.688653+00:00 app[web.1]:  2017-09-19 20:30:25,688 [DEBUG ] JpaTransactionManager - Opened new EntityManager [org.eclipse.persistence.internal.jpa.EntityManagerImpl@9a72030] for JPA transaction
2017-09-19T20:30:25.688788+00:00 app[web.1]:  2017-09-19 20:30:25,688 [DEBUG ] JpaTransactionManager - Exposing JPA transaction as JDBC transaction [org.springframework.orm.jpa.vendor.EclipseLinkJpaDialect$EclipseLinkConnectionHandle@72399baa]
2017-09-19T20:30:25.694302+00:00 app[web.1]:  2017-09-19 20:30:25,694 [DEBUG ] JpaTransactionManager - Initiating transaction commit
2017-09-19T20:30:25.694340+00:00 app[web.1]:  2017-09-19 20:30:25,694 [DEBUG ] JpaTransactionManager - Committing JPA transaction on EntityManager [org.eclipse.persistence.internal.jpa.EntityManagerImpl@9a72030]
2017-09-19T20:30:25.695430+00:00 app[web.1]:  2017-09-19 20:30:25,695 [DEBUG ] PoolElf - HikariPool-0 - Reset (nothing) on connection org.postgresql.jdbc4.Jdbc4Connection@40559453
2017-09-19T20:30:25.695552+00:00 app[web.1]:  2017-09-19 20:30:25,695 [DEBUG ] JpaTransactionManager - Closing JPA EntityManager [org.eclipse.persistence.internal.jpa.EntityManagerImpl@9a72030] after transaction
2017-09-19T20:30:25.695556+00:00 app[web.1]:  2017-09-19 20:30:25,695 [DEBUG ] EntityManagerFactoryUtils - Closing JPA EntityManager
2017-09-19T20:30:25.695701+00:00 app[web.1]:  2017-09-19 20:30:25,695 [DEBUG ] JpaTransactionManager - Creating new transaction with name [org.mitre.oauth2.repository.impl.JpaSystemScopeRepository.getByValue]: PROPAGATION_REQUIRED,ISOLATION_DEFAULT; 'defaultTransactionManager'
2017-09-19T20:30:25.695754+00:00 app[web.1]:  2017-09-19 20:30:25,695 [DEBUG ] JpaTransactionManager - Opened new EntityManager [org.eclipse.persistence.internal.jpa.EntityManagerImpl@5895a47c] for JPA transaction
2017-09-19T20:30:25.695905+00:00 app[web.1]:  2017-09-19 20:30:25,695 [DEBUG ] JpaTransactionManager - Exposing JPA transaction as JDBC transaction [org.springframework.orm.jpa.vendor.EclipseLinkJpaDialect$EclipseLinkConnectionHandle@664f800f]
2017-09-19T20:30:25.697343+00:00 app[web.1]:  2017-09-19 20:30:25,697 [DEBUG ] JpaTransactionManager - Initiating transaction commit
2017-09-19T20:30:25.697361+00:00 app[web.1]:  2017-09-19 20:30:25,697 [DEBUG ] JpaTransactionManager - Committing JPA transaction on EntityManager [org.eclipse.persistence.internal.jpa.EntityManagerImpl@5895a47c]
2017-09-19T20:30:25.699898+00:00 app[web.1]:  2017-09-19 20:30:25,699 [DEBUG ] PoolElf - HikariPool-0 - Reset (nothing) on connection org.postgresql.jdbc4.Jdbc4Connection@40559453
2017-09-19T20:30:25.699981+00:00 app[web.1]:  2017-09-19 20:30:25,699 [DEBUG ] JpaTransactionManager - Closing JPA EntityManager [org.eclipse.persistence.internal.jpa.EntityManagerImpl@5895a47c] after transaction
2017-09-19T20:30:25.699999+00:00 app[web.1]:  2017-09-19 20:30:25,699 [DEBUG ] EntityManagerFactoryUtils - Closing JPA EntityManager
2017-09-19T20:30:25.700125+00:00 app[web.1]:  2017-09-19 20:30:25,700 [DEBUG ] JpaTransactionManager - Creating new transaction with name [org.mitre.oauth2.repository.impl.JpaSystemScopeRepository.getByValue]: PROPAGATION_REQUIRED,ISOLATION_DEFAULT; 'defaultTransactionManager'
2017-09-19T20:30:25.700256+00:00 app[web.1]:  2017-09-19 20:30:25,700 [DEBUG ] JpaTransactionManager - Opened new EntityManager [org.eclipse.persistence.internal.jpa.EntityManagerImpl@6e33b4ac] for JPA transaction
2017-09-19T20:30:25.700354+00:00 app[web.1]:  2017-09-19 20:30:25,700 [DEBUG ] JpaTransactionManager - Exposing JPA transaction as JDBC transaction [org.springframework.orm.jpa.vendor.EclipseLinkJpaDialect$EclipseLinkConnectionHandle@74661e9d]
2017-09-19T20:30:25.702088+00:00 app[web.1]:  2017-09-19 20:30:25,702 [DEBUG ] JpaTransactionManager - Initiating transaction commit
2017-09-19T20:30:25.702113+00:00 app[web.1]:  2017-09-19 20:30:25,702 [DEBUG ] JpaTransactionManager - Committing JPA transaction on EntityManager [org.eclipse.persistence.internal.jpa.EntityManagerImpl@6e33b4ac]
2017-09-19T20:30:25.703272+00:00 app[web.1]:  2017-09-19 20:30:25,703 [DEBUG ] PoolElf - HikariPool-0 - Reset (nothing) on connection org.postgresql.jdbc4.Jdbc4Connection@40559453
2017-09-19T20:30:25.703357+00:00 app[web.1]:  2017-09-19 20:30:25,703 [DEBUG ] JpaTransactionManager - Closing JPA EntityManager [org.eclipse.persistence.internal.jpa.EntityManagerImpl@6e33b4ac] after transaction
2017-09-19T20:30:25.703359+00:00 app[web.1]:  2017-09-19 20:30:25,703 [DEBUG ] EntityManagerFactoryUtils - Closing JPA EntityManager
2017-09-19T20:30:25.703709+00:00 app[web.1]:  2017-09-19 20:30:25,703 [DEBUG ] JpaTransactionManager - Creating new transaction with name [org.mitre.oauth2.repository.impl.JpaAuthenticationHolderRepository.save]: PROPAGATION_REQUIRED,ISOLATION_DEFAULT; 'defaultTransactionManager'
2017-09-19T20:30:25.704933+00:00 app[web.1]:  2017-09-19 20:30:25,704 [DEBUG ] JpaTransactionManager - Opened new EntityManager [org.eclipse.persistence.internal.jpa.EntityManagerImpl@3b45f5f3] for JPA transaction
2017-09-19T20:30:25.705093+00:00 app[web.1]:  2017-09-19 20:30:25,705 [DEBUG ] JpaTransactionManager - Exposing JPA transaction as JDBC transaction [org.springframework.orm.jpa.vendor.EclipseLinkJpaDialect$EclipseLinkConnectionHandle@7f1396f0]
2017-09-19T20:30:25.730673+00:00 app[web.1]:  2017-09-19 20:30:25,730 [DEBUG ] JpaTransactionManager - Initiating transaction commit
2017-09-19T20:30:25.730679+00:00 app[web.1]:  2017-09-19 20:30:25,730 [DEBUG ] JpaTransactionManager - Committing JPA transaction on EntityManager [org.eclipse.persistence.internal.jpa.EntityManagerImpl@3b45f5f3]
2017-09-19T20:30:25.732754+00:00 app[web.1]:  2017-09-19 20:30:25,732 [DEBUG ] PoolElf - HikariPool-0 - Reset (nothing) on connection org.postgresql.jdbc4.Jdbc4Connection@40559453
2017-09-19T20:30:25.735809+00:00 app[web.1]:  2017-09-19 20:30:25,735 [DEBUG ] JpaTransactionManager - Closing JPA EntityManager [org.eclipse.persistence.internal.jpa.EntityManagerImpl@3b45f5f3] after transaction
2017-09-19T20:30:25.735814+00:00 app[web.1]:  2017-09-19 20:30:25,735 [DEBUG ] EntityManagerFactoryUtils - Closing JPA EntityManager
2017-09-19T20:30:25.738602+00:00 app[web.1]:  2017-09-19 20:30:25,737 [DEBUG ] JpaTransactionManager - Creating new transaction with name [org.mitre.oauth2.repository.impl.JpaOAuth2ClientRepository.getClientByClientId]: PROPAGATION_REQUIRED,ISOLATION_DEFAULT; 'defaultTransactionManager'
2017-09-19T20:30:25.738604+00:00 app[web.1]:  2017-09-19 20:30:25,737 [DEBUG ] JpaTransactionManager - Opened new EntityManager [org.eclipse.persistence.internal.jpa.EntityManagerImpl@18dad02e] for JPA transaction
2017-09-19T20:30:25.738605+00:00 app[web.1]:  2017-09-19 20:30:25,737 [DEBUG ] JpaTransactionManager - Exposing JPA transaction as JDBC transaction [org.springframework.orm.jpa.vendor.EclipseLinkJpaDialect$EclipseLinkConnectionHandle@6ca51c5f]
2017-09-19T20:30:25.753343+00:00 app[web.1]:  2017-09-19 20:30:25,753 [DEBUG ] JpaTransactionManager - Initiating transaction commit
2017-09-19T20:30:25.753363+00:00 app[web.1]:  2017-09-19 20:30:25,753 [DEBUG ] JpaTransactionManager - Committing JPA transaction on EntityManager [org.eclipse.persistence.internal.jpa.EntityManagerImpl@18dad02e]
2017-09-19T20:30:25.754632+00:00 app[web.1]:  2017-09-19 20:30:25,754 [DEBUG ] PoolElf - HikariPool-0 - Reset (nothing) on connection org.postgresql.jdbc4.Jdbc4Connection@40559453
2017-09-19T20:30:25.754832+00:00 app[web.1]:  2017-09-19 20:30:25,754 [DEBUG ] JpaTransactionManager - Closing JPA EntityManager [org.eclipse.persistence.internal.jpa.EntityManagerImpl@18dad02e] after transaction
2017-09-19T20:30:25.754851+00:00 app[web.1]:  2017-09-19 20:30:25,754 [DEBUG ] EntityManagerFactoryUtils - Closing JPA EntityManager
2017-09-19T20:30:25.863649+00:00 app[web.1]:  2017-09-19 20:30:25,863 [DEBUG ] JpaTransactionManager - Creating new transaction with name [org.mitre.oauth2.repository.impl.JpaOAuth2ClientRepository.getClientByClientId]: PROPAGATION_REQUIRED,ISOLATION_DEFAULT; 'defaultTransactionManager'
2017-09-19T20:30:25.863679+00:00 app[web.1]:  2017-09-19 20:30:25,863 [DEBUG ] JpaTransactionManager - Opened new EntityManager [org.eclipse.persistence.internal.jpa.EntityManagerImpl@2179209e] for JPA transaction
2017-09-19T20:30:25.863784+00:00 app[web.1]:  2017-09-19 20:30:25,863 [DEBUG ] JpaTransactionManager - Exposing JPA transaction as JDBC transaction [org.springframework.orm.jpa.vendor.EclipseLinkJpaDialect$EclipseLinkConnectionHandle@15750082]
2017-09-19T20:30:25.875099+00:00 app[web.1]:  2017-09-19 20:30:25,875 [DEBUG ] JpaTransactionManager - Initiating transaction commit
2017-09-19T20:30:25.875105+00:00 app[web.1]:  2017-09-19 20:30:25,875 [DEBUG ] JpaTransactionManager - Committing JPA transaction on EntityManager [org.eclipse.persistence.internal.jpa.EntityManagerImpl@2179209e]
2017-09-19T20:30:25.876159+00:00 app[web.1]:  2017-09-19 20:30:25,876 [DEBUG ] PoolElf - HikariPool-0 - Reset (nothing) on connection org.postgresql.jdbc4.Jdbc4Connection@40559453
2017-09-19T20:30:25.876253+00:00 app[web.1]:  2017-09-19 20:30:25,876 [DEBUG ] JpaTransactionManager - Closing JPA EntityManager [org.eclipse.persistence.internal.jpa.EntityManagerImpl@2179209e] after transaction
2017-09-19T20:30:25.876256+00:00 app[web.1]:  2017-09-19 20:30:25,876 [DEBUG ] EntityManagerFactoryUtils - Closing JPA EntityManager
2017-09-19T20:30:25.876377+00:00 app[web.1]:  2017-09-19 20:30:25,876 [DEBUG ] SharedEntityManagerCreator$SharedEntityManagerInvocationHandler - Creating new EntityManager for shared EntityManager invocation
2017-09-19T20:30:25.885711+00:00 app[web.1]:  2017-09-19 20:30:25,885 [DEBUG ] EntityManagerFactoryUtils - Closing JPA EntityManager
2017-09-19T20:30:25.921243+00:00 app[web.1]:  2017-09-19 20:30:25,921 [DEBUG ] JpaTransactionManager - Creating new transaction with name [org.mitre.oauth2.repository.impl.JpaOAuth2TokenRepository.saveAccessToken]: PROPAGATION_REQUIRED,ISOLATION_DEFAULT; 'defaultTransactionManager'
2017-09-19T20:30:25.921287+00:00 app[web.1]:  2017-09-19 20:30:25,921 [DEBUG ] JpaTransactionManager - Opened new EntityManager [org.eclipse.persistence.internal.jpa.EntityManagerImpl@2e4a4958] for JPA transaction
2017-09-19T20:30:25.921438+00:00 app[web.1]:  2017-09-19 20:30:25,921 [DEBUG ] JpaTransactionManager - Exposing JPA transaction as JDBC transaction [org.springframework.orm.jpa.vendor.EclipseLinkJpaDialect$EclipseLinkConnectionHandle@6857e052]
2017-09-19T20:30:25.993803+00:00 app[web.1]:  2017-09-19 20:30:25,993 [DEBUG ] JpaTransactionManager - Initiating transaction commit
2017-09-19T20:30:25.993827+00:00 app[web.1]:  2017-09-19 20:30:25,993 [DEBUG ] JpaTransactionManager - Committing JPA transaction on EntityManager [org.eclipse.persistence.internal.jpa.EntityManagerImpl@2e4a4958]
2017-09-19T20:30:25.998382+00:00 app[web.1]:  2017-09-19 20:30:25,998 [DEBUG ] PoolElf - HikariPool-0 - Reset (nothing) on connection org.postgresql.jdbc4.Jdbc4Connection@40559453
2017-09-19T20:30:25.998545+00:00 app[web.1]:  2017-09-19 20:30:25,998 [DEBUG ] JpaTransactionManager - Closing JPA EntityManager [org.eclipse.persistence.internal.jpa.EntityManagerImpl@2e4a4958] after transaction
2017-09-19T20:30:25.998548+00:00 app[web.1]:  2017-09-19 20:30:25,998 [DEBUG ] EntityManagerFactoryUtils - Closing JPA EntityManager
2017-09-19T20:30:26.053715+00:00 app[web.1]:  2017-09-19 20:30:26,053 [DEBUG ] ScheduledAnnotationBeanPostProcessor - No @Scheduled annotations found on bean class: class org.springframework.security.oauth2.common.OAuth2AccessTokenJackson2Serializer
2017-09-19T20:30:26.083091+00:00 app[web.1]:  2017-09-19 20:30:26,083 [DEBUG ] HttpEntityMethodProcessor - Written [org.mitre.oauth2.model.OAuth2AccessTokenEntity@65517eae] as "application/json;charset=UTF-8" using [org.springframework.http.converter.json.MappingJackson2HttpMessageConverter@ab19835]
2017-09-19T20:30:26.083136+00:00 app[web.1]:  2017-09-19 20:30:26,083 [DEBUG ] DispatcherServlet - Null ModelAndView returned to DispatcherServlet with name 'spring': assuming HandlerAdapter completed request handling
2017-09-19T20:30:26.083203+00:00 app[web.1]:  2017-09-19 20:30:26,083 [DEBUG ] DispatcherServlet - Successfully completed request
2017-09-19T20:30:26.083291+00:00 app[web.1]:  2017-09-19 20:30:26,083 [DEBUG ] ExceptionTranslationFilter - Chain processed normally
2017-09-19T20:30:26.083358+00:00 app[web.1]:  2017-09-19 20:30:26,083 [DEBUG ] SecurityContextPersistenceFilter - SecurityContextHolder now cleared, as request processing completed
2017-09-19T20:30:26.083268+00:00 heroku[router]: at=info method=POST path="/token" host=sms-xconnect.herokuapp.com request_id=c529f382-bc08-495e-bc2f-105fb61bb27b fwd="91.121.149.52" dyno=web.1 connect=1ms service=693ms status=200 bytes=1894 protocol=https
2017-09-19T20:30:26.307601+00:00 app[web.1]:  2017-09-19 20:30:26,307 [DEBUG ] AntPathRequestMatcher - Checking match of request : '/jwk'; against '/token'
2017-09-19T20:30:26.307660+00:00 app[web.1]:  2017-09-19 20:30:26,307 [DEBUG ] AntPathRequestMatcher - Checking match of request : '/jwk'; against '/jwk**'
2017-09-19T20:30:26.307795+00:00 app[web.1]:  2017-09-19 20:30:26,307 [DEBUG ] FilterChainProxy - /jwk at position 1 of 7 in additional filter chain; firing Filter: 'SecurityContextPersistenceFilter'
2017-09-19T20:30:26.307864+00:00 app[web.1]:  2017-09-19 20:30:26,307 [DEBUG ] FilterChainProxy - /jwk at position 2 of 7 in additional filter chain; firing Filter: 'CorsFilter'
2017-09-19T20:30:26.307949+00:00 app[web.1]:  2017-09-19 20:30:26,307 [DEBUG ] FilterChainProxy - /jwk at position 3 of 7 in additional filter chain; firing Filter: 'WebAsyncManagerIntegrationFilter'
2017-09-19T20:30:26.308004+00:00 app[web.1]:  2017-09-19 20:30:26,307 [DEBUG ] FilterChainProxy - /jwk at position 4 of 7 in additional filter chain; firing Filter: 'SecurityContextHolderAwareRequestFilter'
2017-09-19T20:30:26.308047+00:00 app[web.1]:  2017-09-19 20:30:26,308 [DEBUG ] FilterChainProxy - /jwk at position 5 of 7 in additional filter chain; firing Filter: 'AnonymousAuthenticationFilter'
2017-09-19T20:30:26.308145+00:00 app[web.1]:  2017-09-19 20:30:26,308 [DEBUG ] AnonymousAuthenticationFilter - Populated SecurityContextHolder with anonymous token: 'org.springframework.security.authentication.AnonymousAuthenticationToken@6faaf9b0: Principal: anonymousUser; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.security.web.authentication.WebAuthenticationDetails@ffff8868: RemoteIpAddress: 10.98.35.93; SessionId: null; Granted Authorities: ROLE_ANONYMOUS'
2017-09-19T20:30:26.308182+00:00 app[web.1]:  2017-09-19 20:30:26,308 [DEBUG ] FilterChainProxy - /jwk at position 6 of 7 in additional filter chain; firing Filter: 'ExceptionTranslationFilter'
2017-09-19T20:30:26.308214+00:00 app[web.1]:  2017-09-19 20:30:26,308 [DEBUG ] FilterChainProxy - /jwk at position 7 of 7 in additional filter chain; firing Filter: 'FilterSecurityInterceptor'
2017-09-19T20:30:26.308257+00:00 app[web.1]:  2017-09-19 20:30:26,308 [DEBUG ] AntPathRequestMatcher - Checking match of request : '/jwk'; against '/jwk**'
2017-09-19T20:30:26.308335+00:00 app[web.1]:  2017-09-19 20:30:26,308 [DEBUG ] FilterSecurityInterceptor - Secure object: FilterInvocation: URL: /jwk; Attributes: [permitAll]
2017-09-19T20:30:26.308365+00:00 app[web.1]:  2017-09-19 20:30:26,308 [DEBUG ] FilterSecurityInterceptor - Previously Authenticated: org.springframework.security.authentication.AnonymousAuthenticationToken@6faaf9b0: Principal: anonymousUser; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.security.web.authentication.WebAuthenticationDetails@ffff8868: RemoteIpAddress: 10.98.35.93; SessionId: null; Granted Authorities: ROLE_ANONYMOUS
2017-09-19T20:30:26.308520+00:00 app[web.1]:  2017-09-19 20:30:26,308 [DEBUG ] AffirmativeBased - Voter: org.springframework.security.web.access.expression.WebExpressionVoter@339c5da8, returned: 1
2017-09-19T20:30:26.308522+00:00 app[web.1]:  2017-09-19 20:30:26,308 [DEBUG ] FilterSecurityInterceptor - Authorization successful
2017-09-19T20:30:26.308535+00:00 app[web.1]:  2017-09-19 20:30:26,308 [DEBUG ] FilterSecurityInterceptor - RunAsManager did not change Authentication object
2017-09-19T20:30:26.308600+00:00 app[web.1]:  2017-09-19 20:30:26,308 [DEBUG ] FilterChainProxy - /jwk reached end of additional filter chain; proceeding with original chain
2017-09-19T20:30:26.308601+00:00 app[web.1]:  2017-09-19 20:30:26,308 [DEBUG ] DispatcherServlet - DispatcherServlet with name 'spring' processing GET request for [/jwk]
2017-09-19T20:30:26.308654+00:00 app[web.1]:  2017-09-19 20:30:26,308 [DEBUG ] RequestMappingHandlerMapping - Looking up handler method for path /jwk
2017-09-19T20:30:26.308965+00:00 app[web.1]:  2017-09-19 20:30:26,308 [DEBUG ] RequestMappingHandlerMapping - Returning handler method [public java.lang.String org.mitre.openid.connect.web.JWKSetPublishingEndpoint.getJwk(org.springframework.ui.Model)]
2017-09-19T20:30:26.309044+00:00 app[web.1]:  2017-09-19 20:30:26,309 [DEBUG ] DispatcherServlet - Last-Modified value for [/jwk] is: -1
2017-09-19T20:30:26.309238+00:00 app[web.1]:  2017-09-19 20:30:26,309 [INFO  ] UserInfoInterceptor - Authenifcation org.springframework.security.authentication.AnonymousAuthenticationToken null ,trueanonymousUserorg.springframework.security.web.authentication.WebAuthenticationDetails@ffff8868: RemoteIpAddress: 10.98.35.93; SessionId: null
2017-09-19T20:30:26.309864+00:00 app[web.1]:  2017-09-19 20:30:26,309 [DEBUG ] DispatcherServlet - Rendering view [org.mitre.openid.connect.view.JWKSetView: name 'jwkSet'] in DispatcherServlet with name 'spring'
2017-09-19T20:30:26.310477+00:00 app[web.1]:  2017-09-19 20:30:26,310 [DEBUG ] DispatcherServlet - Successfully completed request
2017-09-19T20:30:26.310588+00:00 app[web.1]:  2017-09-19 20:30:26,310 [DEBUG ] ExceptionTranslationFilter - Chain processed normally
2017-09-19T20:30:26.310634+00:00 app[web.1]:  2017-09-19 20:30:26,310 [DEBUG ] SecurityContextPersistenceFilter - SecurityContextHolder now cleared, as request processing completed
